53586856.925933033228 1074641.7987967836671 1925027.117040451616 2869596.0319109912962 6104685.2655144371092 8263095.8801367245615 10420552.541001772508 16041170.731052337214 6888087.5604795347899 0 0 
160792644.25006949902 3229236.598390114028 5753475.5876465886831 8625160.0048099141568 18348372.349269937724 24792149.501681886613 31227650.460686437786 48180156.420309826732 20636443.327274795622 0 0 
267859902.01913446188 5392520.1119345128536 9566067.7998553737998 14387917.304689096287 30471654.999341476709 41290753.950597338378 52101035.275232225657 80312928.518878266215 34337024.058606162667 0 0 
375001800.22406989336 7538529.3277126932517 13419241.720547785982 20122674.772666618228 42708355.016388550401 57731760.218602731824 72953252.629380911589 112399859.27203129232 48128127.266739323735 0 0 
481976653.39135253429 9677938.2147921361029 17206515.484388768673 25853023.427333649248 54878665.008438572288 74298353.209621950984 93696745.037738308311 144541242.73694884777 61824170.272090315819 0 0 
588890401.95310401917 11842459.289967548102 21036717.167305506766 31557950.503496967256 67097497.72943790257 90867189.281097382307 114384598.73776809871 176617370.60836446285 75486618.635666102171 0 0 
0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 
33811020.945026755333 678053.13563623675145 1214609.9978202055208 1810592.692025458673 3851796.0040163523518 5213661.0337162921205 6574924.1592868072912 10121294.486818183213 4346089.4357072198763 0 0 
101453299.8279722631 2037510.5488184785936 3630197.6783131109551 5442108.0523516340181 11577040.293029164895 15642788.813537150621 19703315.409030400217 30399623.551599022001 13020715.481293307617 0 0 
169008172.47071784735 3402450.1698822351173 6035780.7361142318696 9078162.0951672531664 19226314.520301107317 26052704.464253947139 32873530.861929405481 50674032.105699010193 21665197.517370652407 0 0 
236610140.04467108846 4756490.4458996569738 8466969.1209346521646 12696549.438400305808 26947150.26825786382 36426278.119696848094 46030390.550226852298 70919516.726228296757 30366795.37502662465 0 0 
304106709.32525831461 6106366.1960486285388 10856577.31778726168 16312155.008494663984 34626096.742342501879 46879091.640394501388 59118649.43544908613 91199358.685172259808 39008414.299569413066 0 0 
371564724.20620411634 7472086.6657127197832 13273271.200463976711 19911720.646923821419 42335658.988631933928 57333320.449180282652 72171802.669014617801 111438027.14812777936 47628836.438148953021 0 0 
0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 
21333311.989638287574 427822.60587750846753 766367.09880373056512 1142406.7568956285249 2430318.9781735786237 3289597.7208534930833 4148496.6877022734843 6386105.0921048242599 2742197.0492272502743 0 0 
64012704.648210257292 1285582.2452328889631 2290499.8870466044173 3433738.0450860648416 7304618.6002298835665 9869932.4900538772345 12431951.567937498912 19180865.749314468354 8215516.0633089710027 0 0 
106636947.69757468998 2146800.9239150788635 3808320.1851233434863 5727933.0483274795115 12130984.353870172054 16438145.225292954594 20741795.736330665648 31973152.731515921652 13669815.493199069053 0 0 
149290905.63967236876 3001142.5807902594097 5342296.3523407261819 8010981.1177145494148 17002502.374568715692 22983427.711700897664 29043212.986957330257 44747189.945399671793 19160152.570200223476 0 0 
191878361.75447514653 3852856.5994824641384 6850037.1945749549195 10292274.006909083575 21847590.050262711942 29578707.17306696251 37301346.057046458125 57542905.174292974174 24612645.498839531094 0 0 
234441491.68766203523 4714567.9603239605203 8374867.949210180901 12563446.383414495736 26711994.972286242992 36174879.620846770704 45537328.958390012383 70312641.683494418859 30051764.159695941955 0 0 
0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 
13460409.88194963336 269937.81531306885881 483544.94955819140887 720809.93364709499292 1533427.6087082170416 2075595.8423578145448 2617524.4536575023085 4029359.9104858972132 1730209.368221846642 0 0 
40389286.137829646468 811147.55956302781124 1445207.7262631072663 2166542.2385681127198 4608902.7544416710734 6227506.3941231733188 7844031.1480122152716 12102308.118018543348 5183640.198839796707 0 0 
67283365.342734932899 1354539.8100810823962 2402887.5909357410856 3614081.4255330422893 7654133.6738486913964 10371768.459530601278 13087188.357545781881 20173695.542136907578 8625070.4831230808049 0 0 
94196193.377450734377 1893592.9531818549149 3370761.1198991257697 5054587.3727141395211 10727853.747776051983 14501562.516027275473 18325028.54142324999 28233568.140900164843 12089238.985528875142 0 0 
